database,dataset,scenario,warmup_runs,measured_runs,cold_or_warm,min_ms,mean_ms,median_ms,p95_ms,max_ms,stddev_ms,status,error_count,memory_mb,origin
"SQLite","","JVM ate ApplicationReady",0,1,"cold",3251.000,3251.000,3251.000,3251.000,3251.000,0.000,"OK",0,296,"automated-jvm-clock"
"SQLite","small (10 func, 2 dep, 1 mes)","listar departamentos",1,5,"warm",0.154,0.183,0.164,0.226,0.226,0.029,"OK",0,296,"automated"
"SQLite","small (10 func, 2 dep, 1 mes)","criar departamento",1,5,"warm",2.839,3.064,3.004,3.483,3.483,0.224,"OK",0,296,"automated"
"SQLite","small (10 func, 2 dep, 1 mes)","listar funcionarios (pequeno)",1,5,"warm",0.200,0.241,0.244,0.265,0.265,0.023,"OK",0,296,"automated"
"SQLite","medium (100 func, 5 dep, 12 meses)","listar funcionarios (medio)",1,5,"warm",0.367,0.552,0.459,0.815,0.815,0.181,"OK",0,296,"automated"
"SQLite","large (500 func, 10 dep, 12 meses)","listar funcionarios (grande)",1,5,"warm",1.228,1.555,1.591,1.889,1.889,0.241,"OK",0,296,"automated"
"SQLite","small (10 func, 2 dep, 1 mes)","buscar funcionario por ID",1,5,"warm",0.113,0.140,0.135,0.190,0.190,0.027,"OK",0,296,"automated"
"SQLite","small (10 func, 2 dep, 1 mes)","buscar funcionarios por departamento",1,5,"warm",0.105,0.129,0.137,0.156,0.156,0.019,"OK",0,296,"automated"
"SQLite","small (10 func, 2 dep, 1 mes)","contar funcionarios ativos",1,5,"warm",0.113,0.125,0.119,0.145,0.145,0.012,"OK",0,296,"automated"
"SQLite","small (10 func, 2 dep, 1 mes)","listar escalas",1,5,"warm",0.094,0.116,0.100,0.176,0.176,0.031,"OK",0,296,"automated"
"SQLite","small (10 func, 2 dep, 1 mes)","buscar escala por ID",1,5,"warm",0.105,0.125,0.120,0.152,0.152,0.017,"OK",0,296,"automated"
"SQLite","small (10 func, 2 dep, 1 mes)","consultar assignments",1,5,"warm",0.559,0.583,0.584,0.627,0.627,0.024,"OK",0,296,"automated"
"SQLite","small (10 func, 2 dep, 1 mes)","criar schedule_month",1,5,"warm",2.820,2.909,2.917,2.984,2.984,0.058,"OK",0,296,"automated"
"SQLite","small (10 func, 2 dep, 1 mes)","salvar assignments (10 func x 31 dias)",1,5,"warm",909.421,919.282,915.309,933.261,933.261,8.888,"OK",0,296,"automated"
"SQLite","small (10 func, 2 dep, 1 mes)","listar codigos",1,5,"warm",0.111,0.144,0.131,0.177,0.177,0.025,"OK",0,296,"automated"
"SQLite","small (10 func, 2 dep, 1 mes)","SELECT 1",1,5,"warm",0.005,0.006,0.005,0.010,0.010,0.002,"OK",0,296,"automated"
"SQLite","small (10 func, 2 dep, 1 mes)","SELECT 1 (1 clientes)",1,5,"warm",0.013,0.022,0.016,0.040,0.040,0.011,"OK",0,296,"automated"
"SQLite","small (10 func, 2 dep, 1 mes)","SELECT 1 (5 clientes)",1,5,"warm",0.025,0.071,0.052,0.161,0.188,0.047,"OK",0,296,"automated"
"SQLite","small (10 func, 2 dep, 1 mes)","listar departamentos (5 clientes)",1,5,"warm",0.121,0.346,0.347,0.571,0.598,0.143,"OK",0,296,"automated"
"SQLite","small (10 func, 2 dep, 1 mes)","listar funcionarios (20 clientes)",1,5,"warm",0.151,1.387,1.373,2.543,2.915,0.741,"OK",0,296,"automated"
"MySQL","","JVM ate ApplicationReady",0,1,"cold",15946.000,15946.000,15946.000,15946.000,15946.000,0.000,"OK",0,136,"automated-jvm-clock"
"MySQL","small (10 func, 2 dep, 1 mes)","listar departamentos",1,5,"warm",0.960,1.041,0.998,1.193,1.193,0.088,"OK",0,156,"automated"
"MySQL","small (10 func, 2 dep, 1 mes)","criar departamento",1,5,"warm",3.645,3.928,3.817,4.599,4.599,0.347,"OK",0,156,"automated"
"MySQL","small (10 func, 2 dep, 1 mes)","listar funcionarios (pequeno)",1,5,"warm",0.901,1.018,1.021,1.116,1.116,0.082,"OK",0,156,"automated"
"MySQL","medium (100 func, 5 dep, 12 meses)","listar funcionarios (medio)",1,5,"warm",1.622,1.748,1.678,1.990,1.990,0.141,"OK",0,156,"automated"
"MySQL","large (500 func, 10 dep, 12 meses)","listar funcionarios (grande)",1,5,"warm",2.798,3.172,3.321,3.441,3.441,0.247,"OK",0,156,"automated"
"MySQL","small (10 func, 2 dep, 1 mes)","buscar funcionario por ID",1,5,"warm",0.690,0.733,0.732,0.771,0.771,0.027,"OK",0,156,"automated"
